-73.981861,40.716065,"Seventh Presbyterian Church, 1819-1827",P,Evangelical,"<div class=""googft-info-window""> <b>name:</b> Seventh Presbyterian Church, 1819-1827 <b>description:</b> Sheriff Street.  Approximate location.  Moved from Grand, corner of Goerick.  Moved to Broome and Ridge Streets in 1827. <b>Denomination:</b> Presbyterian <b>Date Founded/Built:</b> 1819 </div>"
-74.006562,40.719301,"Provost Street Baptist Church, 1825-1829",B,Evangelical,"<div class=""googft-info-window""> <b>name:</b> Provost Street Baptist Church, 1825-1829 <b>description:</b> Approximate location. <b>Denomination:</b> Baptist <b>Date Founded/Built:</b> 1825 </div>"
-73.983168,40.717322,"Methodist Society Church, 1820?-1830",M,Evangelical,"<div class=""googft-info-window""> <b>name:</b> Methodist Society Church, 1820?-1830 <b>description:</b> Delancy Street. Approximate location. Moves around the corner and becomes First Methodist Protestant Church in 1830. <b>Denomination:</b> Methodist <b>Date Founded/Built:</b> 1820 </div>"
-73.99624,40.72379,"Prince Street Universalist Church, 1824-1830.",U,Non-evangelical,"<div class=""googft-info-window""> <b>name:</b> Prince Street Universalist Church, 1824-1830. <b>description:</b> Corner of Prince and Marion Streets.  Sold to Presbyterians in 1830. <b>Denomination:</b> Universalist <b>Date Founded/Built:</b> 1824 </div>"
-73.99343,40.725172,"Elizabeth Street Baptist Church, 1824-1830",B,Evangelical,"<div class=""googft-info-window""> <b>name:</b> Elizabeth Street Baptist Church, 1824-1830 <b>description:</b> Approximate location. Meet in ""Bethel Free School-House"". <b>Denomination:</b> Baptist <b>Date Founded/Built:</b> 1824 </div>"
-74.002863,40.725525,"Third Methodist Society, 1824-1830",M,Evangelical,"<div class=""googft-info-window""> <b>name:</b> Third Methodist Society, 1824-1830 <b>description:</b> At Sullivan Street location ""preaching was commenced on that ground in the open air, collections being made at each meeting toward the erection of the proposed building��_�۝ In 1830, become Methodist Protestants. <b>Denomination:</b> Methodist <b>Date Founded/Built:</b> 1824 </div>"
-74.00424,40.711539,"Swamp Church, 1766-1831",L,Non-evangelical,"<div class=""googft-info-window""> <b>name:</b> ""Swamp Church,"" (Lutheran), 1766-1831 <b>description:</b> Moved to Walker Street in 1830. <b>Denomination:</b> Lutheran <b>Date Founded/Built:</b> 1766 </div>"
-74.008787,40.716934,"First Colored Presbyterian Church, 1825-1831",P,Evangelical,"<div class=""googft-info-window""> <b>name:</b> First Colored Presbyterian Church, 1825-1831 <b>description:</b> Meets in Colored Public Primary School after they lose their building on Canal Street.  Move to Swamp Church in 1831. <b>Denomination:</b> Presbyterian <b>Date Founded/Built:</b> 1825 </div>"
-74.009923,40.707687,"Eglise Francaise du St Esprit (Huguenots), 1704-1832",E,Non-evangelical,"<div class=""googft-info-window""> <b>name:</b> Eglise Francaise du St Esprit (Huguenots), 1704-1832 <b>description:</b> Moved from Petticoat Lane in 1704. Moved up to Church Street in 1832.  United with Protestant Episcopals in 1803. <b>Denomination:</b> Protestant Episcopalian <b>Date Founded/Built:</b> 1704 </div>"
-74.01009,40.70483,"Shearith Israel, 1730-1833",J,Non-evangelical,"<div class=""googft-info-window""> <b>name:</b> Shearith Israel, 1730-1833 <b>description:</b> Rebuilt 1817/18. Moved to Crosby Street in 1833/34. <b>Denomination:</b> Jewish <b>Date Founded/Built:</b> 1730 </div>"
-74.010665,40.708049,"Cedar Street Presbyterian Church, 1808-1835",P,Evangelical,"<div class=""googft-info-window""> <b>name:</b> Cedar Street Presbyterian Church, 1808-1835 <b>description:</b> Moved up to Duane Street in 1835. <b>Denomination:</b> Presbyterian <b>Date Founded/Built:</b> 1808 </div>"
-74.010675,40.708044,"Cedar Street Presbyterian Church, 1756-1836",P,Evangelical,"<div class=""googft-info-window""> <b>name:</b> Cedar Street Presbyterian Church, 1756-1836 <b>description:</b> Rebuilt 1768. Moved up to Cosby and Grant Streets in 1836. <b>Denomination:</b> Presbyterian <b>Date Founded/Built:</b> 1756 </div>"
-73.989125,40.7286,"Bowery Village Methodist Episcopal Church, 1795-1836",M,Evangelical,"<div class=""googft-info-window""> <b>name:</b> Bowery Village Methodist Episcopal Church, 1795-1836 <b>description:</b> Began as a prayer meeting over John Coutant's grocery.  Moved to multi-purpose structure (school-room on ground; meeting-room above) in 1795.  First church structure built off of the frame of John Street Meetinghouse in 1818. <b>Denomination:</b> Methodist <b>Date Founded/Built:</b> 1795 </div>"
-73.996512,40.716581,"Bowery Presbyterian Church, 1822-1837",P,Evangelical,"<div class=""googft-info-window""> <b>name:</b> Bowery Presbyterian Church, 1822-1837 <b>description:</b> Sponsored by Female Missionary Society. <b>Denomination:</b> Presbyterian <b>Date Founded/Built:</b> 1822 </div>"
-74.006471,40.71036,"Christ Church, Roman Catholic, 1825-1837",C,Non-evangelical,"<div class=""googft-info-window""> <b>name:</b> Christ Church, Roman Catholic, 1825-1837 <b>description:</b> Purchases former Christ Church Protestant Episcopal. <b>Denomination:</b> Catholic <b>Date Founded/Built:</b> 0017 </div>"
-73.999873,40.713741,"Mulberry Street Baptist Church, 1809-1839",B,Evangelical,"<div class=""googft-info-window""> <b>name:</b> Mulberry Street Baptist Church, 1809-1839 <b>description:</b> Rebuilt in 1817. <b>Denomination:</b> Baptist <b>Date Founded/Built:</b> 1809 </div>"
-74.00607,40.70857,"First Baptist Church, 1760-1841",B,Evangelical,"<div class=""googft-info-window""> <b>name:</b> First Baptist Church, 1760-1841 <b>description:</b> Rebuilt 1802. <b>Denomination:</b> Baptist <b>Date Founded/Built:</b> 1760 </div>"
-73.979703,40.715023,"Mission House Baptist Church, 1827-1841",B,Evangelical,"<div class=""googft-info-window""> <b>name:</b> Mission House Baptist Church, 1827-1841 <b>description:</b> Broome Street beween Cannon and Lewis Streets.  Approximate location.  Baptists move into the Mission House built by the Young Men's Missionary Society when the Methodists move into their new Willett Street meetinghouse in 1827.  The congregation builds the Cannon Street Baptist Church around the corner in 1841. <b>Denomination:</b> Baptist <b>Date Founded/Built:</b> 1827 </div>"
-73.99673,40.717237,"Asbury African Methodist Episcopal Church, 1813-1842",M,Evangelical,"<div class=""googft-info-window""> <b>name:</b> Asbury African Methodist Episcopal Church, 1813-1842 <b>description:</b> Separate from Zion in 1813 and move into congregational church on 54 Elizabeth Street.  In 1820, Reunite with Zion for two years, ���sometimes standing with the white churches, in the Methodist Episcopal connection, sometimes with the African Conference of the same name, and sometimes with the Zion church.�۝ In 1826, city directories change from listing it as 54 to 55 Elizabeth Street. <b>Denomination:</b> Methodist <b>Date Founded/Built:</b> 1813 </div>"
-74.003635,40.733661,"Eighth Presbyterian Church, 1821-1842",P,Evangelical,"<div class=""googft-info-window""> <b>name:</b> Eighth Presbyterian Church, 1821-1842 <b>description:</b> Christopher Street.  Moved from room in the Eagle Factory. <b>Denomination:</b> Presbyterian <b>Date Founded/Built:</b> 1821 </div>"
-74.006682,40.722146,"Laight Street Presbyterian Church, 1825-1843",P,Evangelical,"<div class=""googft-info-window""> <b>name:</b> Laight Street Presbyterian Church, 1825-1843 <b>description:</b> Moved up from Spring Street in 1825. <b>Denomination:</b> Presbyterian <b>Date Founded/Built:</b> 1825 </div>"
